Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
5.750000,1.677541,0.128425,0.230420,-0.146536,0.160484,-0.036687
5.800000,1.677640,0.128426,0.230420,-0.146284,0.162093,-0.038561
5.850000,1.677681,0.128440,0.230430,-0.146995,0.165726,-0.028177
5.900000,1.678534,0.129377,0.230202,-0.963025,1.381496,0.041685
5.950000,1.680481,0.133758,0.227607,-2.145146,2.883652,0.121147
6.000000,1.682545,0.140541,0.224660,-3.173442,3.276417,-0.172511
6.050000,1.683765,0.146712,0.228045,-2.981878,2.240484,-0.576503
6.100000,1.682646,0.150008,0.230867,-1.712338,0.483065,-0.705857
6.150000,1.679525,0.148753,0.230741,-0.150951,-1.114509,-0.322852
6.200000,1.675186,0.140826,0.229353,0.974494,-1.910490,0.390696
6.250000,1.670676,0.124940,0.228727,1.398904,-2.107825,1.226750
6.300000,1.668733,0.107018,0.227607,2.357501,0.097692,1.883248
6.350000,1.671248,0.093184,0.224869,3.461384,3.094224,1.839780
6.400000,1.676728,0.085527,0.228398,4.102149,4.387987,1.213254
6.450000,1.683325,0.082548,0.234641,3.336116,3.680204,0.377739
6.500000,1.687423,0.083642,0.235135,1.206334,1.449392,-0.643515
6.550000,1.687608,0.085464,0.231054,-1.364989,-1.024853,-1.673718
6.600000,1.684004,0.084050,0.226822,-3.206656,-2.807135,-2.626993
6.650000,1.678165,0.079163,0.230243,-2.912026,-2.784184,-3.380742
6.700000,1.673491,0.072240,0.228484,-2.750177,-0.238026,-3.666917
6.750000,1.672576,0.067460,0.223869,-2.785925,2.722812,-3.930775
6.800000,1.673685,0.065628,0.225699,-2.312723,2.890491,-4.506807
6.850000,1.674860,0.062899,0.230296,-2.197106,2.067854,-5.198474
6.900000,1.674655,0.058635,0.231899,-1.163410,0.412953,-5.826969
6.950000,1.672299,0.050991,0.230581,0.304197,-1.368798,-6.130786
7.000000,1.667843,0.037486,0.228372,1.348113,-2.378445,-6.231670
7.050000,1.662424,0.017628,0.227407,1.933379,-2.018016,-6.171578
7.100000,1.660400,-0.001184,0.226809,3.090152,0.406003,-6.130895
7.150000,1.662640,-0.014926,0.224809,4.387918,2.885369,-6.621424
7.200000,1.668171,-0.022658,0.228976,5.075613,3.938504,-7.489068
7.250000,1.674629,-0.025370,0.235278,3.948315,3.186415,-8.377762
7.300000,1.678645,-0.023519,0.235678,1.401420,1.188212,-9.322462
7.350000,1.678497,-0.020803,0.231156,-1.573229,-0.890726,-10.180538
7.400000,1.674017,-0.021346,0.228028,-3.183649,-2.070896,-10.982207
7.450000,1.668012,-0.024770,0.229792,-2.408177,-0.632932,-11.650876
7.500000,1.664320,-0.028900,0.227233,-2.044942,1.921497,-12.064590
7.550000,1.663878,-0.030892,0.224468,-2.159537,3.499544,-12.625609
7.600000,1.665037,-0.031619,0.226443,-2.123378,3.206071,-13.410189
7.650000,1.665428,-0.033711,0.228788,-1.713690,1.776587,-14.264206
7.700000,1.663572,-0.037942,0.229470,-0.709395,-0.313393,-14.954514
