Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
57.299999,1.362172,0.188070,0.216192,2.075496,-1.970795,-13.928364
57.349998,1.363243,0.190688,0.183921,-0.144546,0.110890,-13.997841
57.399998,1.366001,0.193784,0.183795,-0.067207,0.038269,-13.975589
57.450001,1.365883,0.193134,0.183064,-0.039449,0.014366,-13.978579
57.500000,1.365395,0.192424,0.182542,-0.014316,-0.002167,-13.988906
57.549999,1.365399,0.192497,0.182209,-0.009428,-0.001533,-14.009414
57.599998,1.365507,0.192623,0.181970,-0.010689,-0.004261,-14.031480
57.649998,1.365501,0.192587,0.181820,-0.009960,-0.007402,-14.037885
57.700001,1.366173,0.193404,0.223948,-0.026053,-0.092742,-14.105825
57.750000,1.366215,0.195115,0.318548,0.301871,-0.413513,-13.981951
57.799999,1.366271,0.195408,0.357852,0.272771,-0.766805,-13.693652
57.849998,1.366106,0.196520,0.336549,0.306245,-0.990623,-14.003895
57.899998,1.366585,0.199178,0.272094,0.326286,-1.212861,-14.073545
57.950001,1.366240,0.200317,0.219618,0.425340,-1.860024,-13.983932
58.000000,1.370384,0.201486,0.184839,-0.063256,-0.020978,-13.914592
58.049999,1.372948,0.201603,0.184059,-0.022876,0.065110,-13.853617
58.099998,1.371306,0.201209,0.183154,-0.019818,0.018473,-13.878174
58.149998,1.371066,0.200793,0.182569,-0.000261,0.001169,-13.915147
58.200001,1.371510,0.200874,0.182217,-0.003037,0.008562,-13.921623
58.250000,1.371547,0.200938,0.181994,-0.001961,0.003801,-13.929921
58.299999,1.371493,0.200941,0.181852,-0.001758,0.000955,-13.945971
58.349998,1.371592,0.200880,0.181761,-0.003974,0.003612,-13.953036
58.399998,1.370239,0.200834,0.224808,0.193684,-0.249409,-13.835598
58.450001,1.365559,0.198647,0.317915,0.567682,-0.925232,-13.716824
58.500000,1.361052,0.197116,0.356426,0.712219,-1.551436,-13.693947
58.549999,1.358577,0.195483,0.335083,0.954910,-2.361714,-13.613301
58.599998,1.356420,0.194362,0.270050,1.011486,-2.799995,-13.604615
58.649998,1.352246,0.192274,0.216481,1.332296,-3.518397,-13.490342
58.700001,1.356261,0.193438,0.184174,0.008909,0.066123,-13.511341
58.750000,1.360438,0.194892,0.183948,-0.002331,0.044859,-13.732965
58.799999,1.359077,0.194485,0.183097,-0.011782,0.023836,-13.808158
58.849998,1.358355,0.193794,0.182535,-0.001833,0.002997,-13.770827
58.899998,1.358602,0.193791,0.182176,-0.002428,-0.000780,-13.773355
58.950001,1.358718,0.193910,0.181961,-0.003737,0.000515,-13.793074
59.000000,1.358701,0.193907,0.181816,-0.004048,0.002111,-13.804015
59.049999,1.358644,0.194293,0.223189,0.189765,0.107137,-13.790905
59.099998,1.356353,0.192139,0.316569,0.411849,-0.366865,-13.500945
59.149998,1.354195,0.189629,0.355318,0.569553,-0.593678,-13.291868
59.200001,1.352030,0.188891,0.333202,0.780026,-0.986675,-13.156259
59.250000,1.351947,0.188467,0.268283,1.204141,-1.278839,-13.029660
59.299999,1.351031,0.186528,0.214352,1.634623,-1.896315,-12.845873
59.349998,1.353733,0.188402,0.184810,-0.004860,-0.018542,-12.715041
59.399998,1.356299,0.191377,0.183962,-0.061090,0.044060,-12.691607
59.450001,1.355342,0.190947,0.183161,-0.040755,0.016807,-12.748260
59.500000,1.354648,0.190065,0.182605,-0.020770,-0.000140,-12.750490
59.549999,1.354711,0.190176,0.182234,-0.011970,0.004654,-12.731443
59.599998,1.354845,0.190351,0.182002,-0.013250,0.001766,-12.723415
59.649998,1.354799,0.190282,0.181852,-0.010697,-0.001093,-12.722564
59.700001,1.354693,0.190304,0.181755,-0.008180,-0.001373,-12.721992
59.750000,1.354070,0.190322,0.224978,0.020566,-0.122303,-12.655598
59.799999,1.353081,0.190798,0.319393,0.386728,-0.779380,-12.599809
59.849998,1.351334,0.191423,0.358990,0.453313,-0.925973,-12.364481
59.899998,1.350171,0.191463,0.337105,0.539729,-0.852633,-12.552576
59.950001,1.350692,0.193211,0.273690,0.348803,-1.254208,-12.822055
60.000000,1.349492,0.193608,0.221174,0.262813,-1.740074,-12.849116
60.049999,1.352582,0.194658,0.183488,-0.224834,0.049511,-12.880190
60.099998,1.356463,0.195003,0.183800,-0.058208,0.035834,-13.004314
60.149998,1.355372,0.194685,0.183056,-0.035093,-0.001229,-13.096340
60.200001,1.354865,0.194359,0.182509,-0.018278,-0.009565,-13.043385
60.250000,1.355047,0.194441,0.182136,-0.012738,-0.004707,-13.045248
60.299999,1.355166,0.194444,0.181947,-0.007385,-0.000122,-13.063369
60.349998,1.355091,0.194329,0.181811,-0.004501,-0.001562,-13.051048
60.399998,1.355054,0.194302,0.181713,-0.005762,0.000307,-13.042629
60.450001,1.354031,0.194025,0.225007,0.205526,-0.031587,-12.901351
60.500000,1.349512,0.191721,0.318547,0.374557,-0.855993,-12.438150
60.549999,1.345356,0.188886,0.357176,0.528314,-1.386732,-12.083982
60.599998,1.342419,0.187541,0.336240,0.827561,-2.109456,-11.943035
60.649998,1.339432,0.186520,0.270832,0.910480,-2.476839,-11.768410
60.700001,1.335896,0.185263,0.217243,1.401919,-3.352473,-11.595592
60.750000,1.338834,0.186423,0.184376,0.036861,-0.014245,-11.516117
